50	 & 	2	 & 	9	 & 	11	 & 	1525	 & 	2740	 & 	14.8	 & 	15.0	 & 	7200.0	 & 	43.3	 & 	46.8	 & 	7.45	 & 	140.8	 & 	107.6	 & 	1126.4	 & 	4.0	 & 	352.92	 & 	43.0	 & 	47.2	 & 	8.85	 & 	397.8	 & 	61.5
55	 & 	2	 & 	3	 & 	36	 & 	2548	 & 	3706	 & 	15.4	 & 	16.2	 & 	7200.0	 & 	58.2	 & 	64.2	 & 	9.26	 & 	44.0	 & 	40.4	 & 	5701.5	 & 	0.0	 & 	3115.82	 & 	55.5	 & 	66.4	 & 	16.44	 & 	440.8	 & 	36.8
35	 & 	5	 & 	6	 & 	11	 & 	552	 & 	968	 & 	4.6	 & 	4.6	 & 	3111.5	 & 	20.6	 & 	21.8	 & 	5.25	 & 	148.2	 & 	81.0	 & 	172.2	 & 	2.8	 & 	4.40	 & 	15.4	 & 	23.2	 & 	33.28	 & 	54.2	 & 	10.5
55	 & 	2	 & 	6	 & 	18	 & 	2044	 & 	3482	 & 	16.0	 & 	16.0	 & 	7200.0	 & 	48.7	 & 	56.8	 & 	14.20	 & 	8.9	 & 	8.3	 & 	378.7	 & 	0.0	 & 	701.96	 & 	10.0	 & 	11.2	 & 	2.14	 & 	574.0	 & 	28.5
40	 & 	5	 & 	3	 & 	26	 & 	924	 & 	1400	 & 	4.4	 & 	4.8	 & 	3249.3	 & 	35.4	 & 	36.0	 & 	1.72	 & 	178.6	 & 	62.7	 & 	1123.3	 & 	0.4	 & 	15.61	 & 	28.1	 & 	39.6	 & 	28.68	 & 	9.6	 & 	6.0
55	 & 	2	 & 	9	 & 	12	 & 	1876	 & 	3409	 & 	16.6	 & 	16.6	 & 	7200.0	 & 	47.4	 & 	51.4	 & 	7.76	 & 	78.5	 & 	57.2	 & 	1443.2	 & 	5.6	 & 	260.82	 & 	47.4	 & 	51.8	 & 	8.51	 & 	451.4	 & 	85.3
40	 & 	5	 & 	9	 & 	8	 & 	672	 & 	1246	 & 	5.0	 & 	5.2	 & 	4157.9	 & 	18.6	 & 	19.4	 & 	4.29	 & 	490.7	 & 	159.9	 & 	14.1	 & 	4.2	 & 	3.84	 & 	16.2	 & 	19.8	 & 	17.87	 & 	100.6	 & 	2.8
30	 & 	8	 & 	3	 & 	20	 & 	300	 & 	453	 & 	3.0	 & 	3.0	 & 	1.3	 & 	23.6	 & 	23.6	 & 	0.00	 & 	0.2	 & 	0.0	 & 	0.9	 & 	1.6	 & 	0.63	 & 	19.9	 & 	24.6	 & 	19.22	 & 	0.0	 & 	0.1
30	 & 	8	 & 	6	 & 	10	 & 	240	 & 	433	 & 	2.4	 & 	2.4	 & 	0.4	 & 	14.6	 & 	14.6	 & 	0.00	 & 	0.2	 & 	0.0	 & 	0.3	 & 	3.0	 & 	0.13	 & 	10.6	 & 	15.4	 & 	30.82	 & 	2.6	 & 	0.0
30	 & 	8	 & 	9	 & 	6	 & 	216	 & 	418	 & 	2.8	 & 	2.8	 & 	0.4	 & 	11.0	 & 	11.0	 & 	0.00	 & 	0.2	 & 	0.0	 & 	0.1	 & 	2.2	 & 	0.08	 & 	8.6	 & 	11.8	 & 	26.35	 & 	13.2	 & 	0.0
